"rowid","time","location","happiness","unhappiness"
"1","2011-08-30 16:22:29","1","42","0"
"2","2011-08-30 16:22:40","1","42","0"
"3","2011-08-30 16:22:41","1","42","0"
"4","2011-08-30 16:22:42","1","42","0"
"5","2011-08-30 16:22:42","1","42","0"
"6","2011-08-30 16:22:42","1","42","0"
"7","2011-08-30 16:22:43","1","42","0"
"8","2011-08-30 16:22:43","1","42","0"
"9","2011-08-30 16:22:43","1","42","0"
"10","2011-08-30 16:23:05","1","42","0"
"11","2011-08-31 10:25:04","1","0","1"
"12","2011-08-31 10:25:11","1","0","1"
"13","2011-08-31 10:26:40","1","0","1"
"14","2011-08-31 10:27:35","1","0","1"
"15","2011-08-31 10:27:47","1","0","1"
"16","2011-08-31 10:27:56","1","1","0"
"17","2011-08-31 10:32:34","1","0","1"
"18","2011-08-31 10:32:43","1","0","1"
"19","2011-08-31 10:32:58","1","1","0"
"20","2011-08-31 10:33:04","1","1","0"
"21","2011-08-31 10:33:13","1","1","0"
"22","2011-08-31 10:33:35","1","0","1"
"23","2011-08-31 10:33:49","1","0","1"
"24","2011-08-31 10:34:02","1","1","0"
"25","2011-08-31 10:34:15","1","1","0"
"26","2011-08-31 10:34:30","1","0","1"
"27","2011-08-31 10:41:42","1","0","1"
"28","2011-08-31 10:41:51","1","0","1"
"29","2011-08-31 10:42:06","1","0","1"
"30","2011-08-31 10:42:17","1","0","1"
"31","2011-08-31 10:42:31","1","0","1"
"32","2011-08-31 10:42:47","1","0","1"
"33","2011-08-31 10:43:04","1","0","1"
"34","2011-08-31 10:43:23","1","1","0"
"35","2011-08-31 15:47:44","1","0","1"
"36","2011-08-31 15:47:51","1","1","0"
"37","2011-08-31 15:48:01","1","0","1"
"38","2011-09-01 16:29:29","4","5","5"
"39","2011-09-01 16:29:48","4","0","1"
"40","2011-09-01 16:30:08","4","0","1"
"41","2011-09-01 16:31:01","4","1","0"
"42","2011-09-01 16:31:34","4","0","1"
"43","2011-09-01 16:33:18","4","1","0"
"44","2011-09-01 16:33:34","4","0","1"
"45","2011-09-01 16:33:45","4","1","0"
"46","2011-09-01 16:43:57","4","1","0"
"47","2011-09-01 17:24:16","4","1","0"
"48","2011-09-01 17:24:25","4","1","1"
"49","2011-09-02 13:30:46","5","8","20"
"50","2011-09-02 13:30:48","3","4","8"
"51","2011-09-02 13:38:05","4","1","0"
"52","2011-09-02 13:38:38","4","0","1"
"53","2011-09-02 13:40:59","5","0","1"
"54","2011-09-02 13:41:16","5","1","0"
"55","2011-09-02 13:42:01","4","1","0"
"56","2011-09-02 13:42:08","3","1","0"
"57","2011-09-02 13:42:16","3","0","1"
"58","2011-09-02 13:42:25","5","1","0"
"59","2011-09-02 13:42:30","4","0","1"
"60","2011-09-02 13:42:55","4","1","0"
"61","2011-09-02 13:42:59","5","1","1"
"62","2011-09-02 13:43:29","5","1","0"
"63","2011-09-02 13:43:44","3","1","0"
"64","2011-09-02 13:43:55","5","0","1"
"65","2011-09-02 13:50:48","3","1","0"
"66","2011-09-02 13:52:06","1","8","11"
"67","2011-09-02 13:52:06","4","14","12"
"68","2011-09-02 13:52:07","5","12","23"
"69","2011-09-02 13:52:07","1","9","3"
"70","2011-09-02 13:52:08","3","7","9"
"71","2011-09-02 13:52:50","1","0","1"
"72","2011-09-02 13:53:06","1","1","0"
"73","2011-09-02 13:53:27","1","1","0"
"74","2011-09-02 13:53:45","1","1","0"
"75","2011-09-02 13:54:03","4","1","0"
"76","2011-09-02 13:54:25","4","0","1"
"77","2011-09-02 13:55:24","1","1","0"
"78","2011-09-02 13:59:56","1","1","0"
"79","2011-09-02 14:01:30","1","1","0"
"80","2011-09-02 14:01:54","1","1","0"
"81","2011-09-03 10:07:19","1","6","3"
"82","2011-09-03 10:09:21","4","1","0"
"83","2011-09-03 10:09:41","4","1","0"
"84","2011-09-03 10:10:14","4","1","0"
"85","2011-09-03 10:10:26","4","2","0"
"86","2011-09-03 10:10:41","4","1","0"
"87","2011-09-03 10:10:59","4","1","0"
"88","2011-09-03 10:11:31","3","1","0"
"89","2011-09-03 10:12:05","4","1","0"
"90","2011-09-03 10:12:14","4","0","1"
"91","2011-09-03 10:13:17","4","1","0"
"92","2011-09-03 10:13:25","4","1","0"
"93","2011-09-03 10:13:43","5","4","4"
"94","2011-09-03 10:13:58","4","1","0"
"95","2011-09-03 10:14:00","1","1","0"
"96","2011-09-03 10:14:16","4","1","0"
"97","2011-09-03 10:15:11","4","1","0"
"98","2011-09-03 10:15:16","1","1","0"
"99","2011-09-03 10:15:48","3","0","1"
"100","2011-09-03 10:16:18","4","1","0"
"101","2011-09-03 10:16:36","4","1","0"
"102","2011-09-03 10:17:01","4","1","0"
"103","2011-09-03 10:17:20","1","1","0"
"104","2011-09-03 10:17:47","4","1","0"
"105","2011-09-03 10:17:48","4","1","0"
"106","2011-09-03 10:17:59","4","2","0"
"107","2011-09-03 10:18:00","1","1","0"
"108","2011-09-03 10:18:06","4","1","0"
"109","2011-09-03 10:18:21","4","2","0"
"110","2011-09-03 10:18:35","4","1","0"
"111","2011-09-03 10:18:43","4","1","0"
"112","2011-09-03 10:18:44","3","1","0"
"113","2011-09-03 10:18:59","3","1","0"
"114","2011-09-03 10:19:01","4","1","0"
"115","2011-09-03 10:19:08","4","1","0"
"116","2011-09-03 10:19:11","1","1","0"
"117","2011-09-03 10:19:21","3","2","0"
"118","2011-09-03 10:19:24","4","1","1"
"119","2011-09-03 10:19:48","4","1","0"
"120","2011-09-03 10:20:11","4","1","0"
"121","2011-09-03 10:22:03","3","1","0"
"122","2011-09-03 10:24:32","3","2","0"
"123","2011-09-03 10:25:06","4","1","1"
"124","2011-09-03 10:25:18","5","2","0"
"125","2011-09-03 10:25:26","4","4","0"
"126","2011-09-03 10:25:45","3","1","0"
"127","2011-09-03 10:26:07","4","1","1"
"128","2011-09-03 10:26:34","4","1","0"
"129","2011-09-03 10:27:00","4","1","2"
"130","2011-09-03 10:28:31","3","1","0"
"131","2011-09-03 10:29:02","4","1","0"
"132","2011-09-03 10:29:21","4","1","0"
"133","2011-09-03 10:35:25","1","11","6"
"134","2011-09-03 10:35:29","4","1","0"
"135","2011-09-03 10:35:41","4","2","0"
"136","2011-09-03 10:35:55","4","1","0"
"137","2011-09-03 10:36:05","4","0","1"
"138","2011-09-03 10:36:14","4","1","0"
"139","2011-09-03 10:36:33","3","1","0"
"140","2011-09-03 10:36:48","3","1","0"
"141","2011-09-03 10:36:53","1","1","0"
"142","2011-09-03 10:36:56","5","1","0"
"143","2011-09-03 10:37:28","3","1","0"
"144","2011-09-03 10:37:30","5","1","0"
"145","2011-09-03 10:38:52","1","1","0"
"146","2011-09-03 10:38:54","4","1","0"
"147","2011-09-03 10:39:06","4","0","1"
"148","2011-09-03 10:39:13","3","1","0"
"149","2011-09-03 10:39:22","3","0","1"
"150","2011-09-03 10:39:41","1","1","0"
"151","2011-09-03 10:39:46","1","1","0"
"152","2011-09-03 10:40:42","3","2","1"
"153","2011-09-03 10:40:50","3","0","1"
"154","2011-09-03 10:40:58","3","2","0"
"155","2011-09-03 10:41:03","1","1","0"
"156","2011-09-03 10:41:10","1","1","0"
"157","2011-09-03 10:41:19","1","0","1"
"158","2011-09-03 10:41:27","1","0","1"
"159","2011-09-03 10:41:35","1","1","0"
"160","2011-09-03 10:41:45","4","1","0"
"161","2011-09-03 10:42:08","5","1","0"
"162","2011-09-03 10:42:14","5","1","0"
"163","2011-09-03 10:42:20","5","1","0"
"164","2011-09-03 10:43:45","5","1","0"
"165","2011-09-03 10:43:47","1","1","0"
"166","2011-09-03 10:43:49","4","1","0"
"167","2011-09-03 10:44:01","4","0","1"
"168","2011-09-03 10:44:32","4","1","0"
"169","2011-09-03 10:45:12","4","1","0"
"170","2011-09-03 10:45:24","4","1","1"
"171","2011-09-03 10:45:33","4","1","0"
"172","2011-09-03 10:45:55","3","1","0"
"173","2011-09-03 10:46:05","4","2","0"
"174","2011-09-03 10:46:15","1","1","0"
"175","2011-09-03 10:46:18","3","1","0"
"176","2011-09-03 10:46:53","3","1","0"
"177","2011-09-03 10:47:31","3","2","2"
"178","2011-09-03 10:47:31","4","1","0"
"179","2011-09-03 10:47:38","3","1","1"
"180","2011-09-03 10:47:52","3","1","0"
"181","2011-09-03 10:48:08","4","2","0"
"182","2011-09-03 10:48:11","1","1","0"
"183","2011-09-03 10:48:25","1","1","0"
"184","2011-09-03 10:48:31","1","1","0"
"185","2011-09-03 10:48:41","1","1","0"
"186","2011-09-03 10:49:14","1","1","0"
"187","2011-09-03 10:49:24","1","1","1"
"188","2011-09-03 10:49:54","3","1","0"
"189","2011-09-03 10:50:17","4","0","1"
"190","2011-09-03 10:50:35","3","1","0"
"191","2011-09-03 10:50:40","4","1","0"
"192","2011-09-03 10:50:48","1","1","0"
"193","2011-09-03 10:51:03","3","1","0"
"194","2011-09-03 10:51:08","1","1","1"
"195","2011-09-03 10:51:10","3","1","0"
"196","2011-09-03 10:51:17","4","1","0"
"197","2011-09-03 10:51:26","3","2","0"
"198","2011-09-03 10:52:20","4","1","0"
"199","2011-09-03 10:52:35","4","1","0"
"200","2011-09-03 10:52:38","5","1","0"
"201","2011-09-03 10:52:46","4","1","1"
"202","2011-09-03 10:53:36","1","1","0"
"203","2011-09-03 10:53:44","4","2","0"
"204","2011-09-03 10:54:23","4","1","1"
"205","2011-09-03 10:54:37","3","1","0"
"206","2011-09-03 10:54:43","3","0","1"
"207","2011-09-03 10:54:53","3","0","2"
"208","2011-09-03 10:55:07","1","1","1"
"209","2011-09-03 10:55:16","1","1","0"
"210","2011-09-03 10:55:23","1","1","0"
"211","2011-09-03 10:56:08","4","1","0"
"212","2011-09-03 10:56:21","5","1","0"
"213","2011-09-03 10:56:24","4","1","0"
"214","2011-09-03 10:56:29","1","1","1"
"215","2011-09-03 10:56:39","1","0","1"
"216","2011-09-03 10:56:45","1","0","1"
"217","2011-09-03 10:57:04","1","2","1"
"218","2011-09-03 10:57:09","3","1","0"
"219","2011-09-03 10:58:29","1","1","0"
"220","2011-09-03 10:58:39","1","1","0"
"221","2011-09-03 10:58:45","4","1","0"
"222","2011-09-03 10:58:55","1","2","0"
"223","2011-09-03 10:58:55","4","1","0"
"224","2011-09-03 10:59:03","4","1","0"
"225","2011-09-03 10:59:13","1","3","0"
"226","2011-09-03 10:59:20","4","1","0"
"227","2011-09-03 10:59:28","4","1","0"
"228","2011-09-03 11:00:15","1","1","0"
"229","2011-09-03 11:00:17","4","3","0"
"230","2011-09-03 11:00:36","1","1","0"
"231","2011-09-03 11:00:45","4","1","0"
"232","2011-09-03 11:00:54","3","1","0"
"233","2011-09-03 11:01:12","1","1","0"
"234","2011-09-03 11:01:19","1","1","0"
"235","2011-09-03 11:01:25","1","1","0"
"236","2011-09-03 11:01:26","3","0","1"
"237","2011-09-03 11:01:34","3","1","0"
"238","2011-09-03 11:02:41","3","0","1"
"239","2011-09-03 11:02:41","1","2","0"
"240","2011-09-03 11:02:43","5","1","0"
"241","2011-09-03 11:02:57","3","1","1"
"242","2011-09-03 11:03:43","4","1","0"
"243","2011-09-03 11:03:47","5","1","0"
"244","2011-09-03 11:04:08","1","1","0"
"245","2011-09-03 11:04:17","4","1","0"
"246","2011-09-03 11:04:17","3","1","0"
"247","2011-09-03 11:05:08","4","1","1"
"248","2011-09-03 11:05:37","1","1","0"
"249","2011-09-03 11:05:45","1","1","0"
"250","2011-09-03 11:05:52","1","1","0"
"251","2011-09-03 11:06:17","3","1","0"
"252","2011-09-03 11:06:19","4","1","0"
"253","2011-09-03 11:06:35","1","1","0"
"254","2011-09-03 11:06:42","4","1","0"
"255","2011-09-03 11:07:12","1","1","0"
"256","2011-09-03 11:07:21","1","1","0"
"257","2011-09-03 11:07:52","4","2","0"
"258","2011-09-03 11:08:16","4","1","0"
"259","2011-09-03 11:08:18","1","1","0"
"260","2011-09-03 11:08:35","1","1","1"
"261","2011-09-03 11:08:38","3","1","0"
"262","2011-09-03 11:08:39","4","1","0"
"263","2011-09-03 11:09:02","4","0","1"
"264","2011-09-03 11:09:14","5","1","0"
"265","2011-09-03 11:09:37","5","4","0"
"266","2011-09-03 11:09:40","1","1","0"
"267","2011-09-03 11:09:49","4","0","1"
"268","2011-09-03 11:10:22","1","1","0"
"269","2011-09-03 11:10:32","1","1","0"
"270","2011-09-03 11:11:01","3","1","0"
"271","2011-09-03 11:11:22","5","1","0"
"272","2011-09-03 11:12:04","5","1","0"
"273","2011-09-03 11:12:17","1","0","1"
"274","2011-09-03 11:12:24","1","1","0"
"275","2011-09-03 11:12:57","1","2","0"
"276","2011-09-03 11:13:28","1","1","0"
"277","2011-09-03 11:13:37","1","1","0"
"278","2011-09-03 11:14:11","5","1","0"
"279","2011-09-03 11:14:28","1","0","1"
"280","2011-09-03 11:14:35","4","1","1"
"281","2011-09-03 11:14:36","3","1","0"
"282","2011-09-03 11:14:37","1","1","0"
"283","2011-09-03 11:14:42","4","1","0"
"284","2011-09-03 11:14:45","5","1","0"
"285","2011-09-03 11:14:45","3","0","1"
"286","2011-09-03 11:14:51","4","0","1"
"287","2011-09-03 11:15:18","4","1","0"
"288","2011-09-03 11:15:24","5","0","1"
"289","2011-09-03 11:15:28","4","1","0"
"290","2011-09-03 11:16:10","3","1","0"
"291","2011-09-03 11:16:29","4","1","0"
"292","2011-09-03 11:16:39","5","1","0"
"293","2011-09-03 11:17:38","3","2","0"
"294","2011-09-03 11:18:45","4","1","0"
"295","2011-09-03 11:19:20","4","1","0"
"296","2011-09-03 11:19:38","4","2","1"
"297","2011-09-03 11:19:52","4","1","0"
"298","2011-09-03 11:20:04","5","0","1"
"299","2011-09-03 11:20:27","1","1","0"
"300","2011-09-03 11:20:34","5","1","0"
"301","2011-09-03 11:21:12","3","1","0"
"302","2011-09-03 11:21:21","3","1","1"
"303","2011-09-03 11:21:26","5","1","0"
"304","2011-09-03 11:21:31","3","1","1"
"305","2011-09-03 11:21:52","1","1","0"
"306","2011-09-03 11:21:57","3","2","2"
"307","2011-09-03 11:22:02","3","1","0"
"308","2011-09-03 11:22:12","3","1","0"
"309","2011-09-03 11:22:27","5","1","0"
"310","2011-09-03 11:22:38","4","1","0"
"311","2011-09-03 11:22:43","5","2","0"
"312","2011-09-03 11:22:53","3","1","0"
"313","2011-09-03 11:23:20","1","0","2"
"314","2011-09-03 11:24:13","1","1","0"
"315","2011-09-03 11:24:36","4","1","0"
"316","2011-09-03 11:25:05","4","1","0"
"317","2011-09-03 11:25:24","4","2","1"
"318","2011-09-03 11:25:25","1","1","0"
"319","2011-09-03 11:25:29","4","1","0"
"320","2011-09-03 11:25:32","1","0","1"
"321","2011-09-03 11:25:37","4","1","0"
"322","2011-09-03 11:25:42","4","1","0"
"323","2011-09-03 11:25:43","1","2","0"
"324","2011-09-03 11:25:48","4","0","1"
"325","2011-09-03 11:25:50","1","1","0"
